Size, Seq, Par, Libc
100, 0.000007, 0.010039, 0.000014
100, 0.000019, 0.019373, 0.000028
100, 0.000008, 0.030975, 0.000025
100, 0.000009, 0.012042, 0.000029
100, 0.000010, 0.017532, 0.000028
1000, 0.000126, 0.063881, 0.000188
1000, 0.000182, 0.072712, 0.000137
1000, 0.000096, 0.070263, 0.000171
1000, 0.000193, 0.079220, 0.000133
1000, 0.000151, 0.070349, 0.000109
10000, 0.001910, 0.145680, 0.001355
10000, 0.002829, 0.130304, 0.001332
10000, 0.002077, 0.140011, 0.001300
10000, 0.001403, 0.130638, 0.001335
10000, 0.001351, 0.140935, 0.001321
100000, 0.013705, 0.137735, 0.014280
100000, 0.018048, 0.137582, 0.014260
100000, 0.015430, 0.142673, 0.014309
100000, 0.029665, 0.122431, 0.014564
100000, 0.013810, 0.089543, 0.014476
1000000, 0.170761, 0.115436, 0.134427
1000000, 0.211066, 0.118774, 0.147488
1000000, 0.200290, 0.168043, 0.131281
1000000, 0.184847, 0.123847, 0.131655
1000000, 0.171069, 0.142441, 0.136358
