Size,Seq,Par,Libc
1000000, 0.164616, 0.114434, 0.129421
1000000, 0.161653, 0.151954, 0.141135
1000000, 0.159023, 0.106772, 0.148148
1000000, 0.175067, 0.099141, 0.130594
1000000, 0.203932, 0.157616, 0.139227
1000000, 0.187567, 0.160618, 0.132969
1000000, 0.184706, 0.119521, 0.132099
1000000, 0.182099, 0.113456, 0.132649
1000000, 0.162792, 0.120733, 0.130750
1000000, 0.157777, 0.109943, 0.133266
1000000, 0.154566, 0.144380, 0.136078
1000000, 0.177555, 0.117414, 0.130597
1000000, 0.156095, 0.113799, 0.131494
1000000, 0.167981, 0.114987, 0.130594
1000000, 0.195701, 0.117560, 0.132332
1000000, 0.168858, 0.200872, 0.152825
1000000, 0.176941, 0.147621, 0.159739
1000000, 0.178163, 0.159050, 0.152347
1000000, 0.166678, 0.158853, 0.144179
1000000, 0.170963, 0.161290, 0.133364
1000000, 0.214048, 0.138556, 0.132833
1000000, 0.186108, 0.152079, 0.155581
1000000, 0.159684, 0.145907, 0.130793
1000000, 0.160400, 0.179206, 0.138248
1000000, 0.206395, 0.131367, 0.130499
1000000, 0.173958, 0.160115, 0.131310
1000000, 0.167797, 0.138123, 0.130719
1000000, 0.183609, 0.107537, 0.128706
1000000, 0.176246, 0.170334, 0.128331
1000000, 0.161986, 0.114437, 0.128534
100, 0.000014, 0.020772, 0.000017
100, 0.000010, 0.020051, 0.000078
100, 0.000008, 0.014379, 0.000030
100, 0.000016, 0.016046, 0.000023
100, 0.000019, 0.028006, 0.000031
100, 0.000017, 0.029111, 0.000035
100, 0.000018, 0.028773, 0.000028
100, 0.000016, 0.027846, 0.000032
100, 0.000019, 0.029015, 0.000029
100, 0.000018, 0.031059, 0.000024
100, 0.000017, 0.032287, 0.000016
100, 0.000019, 0.026177, 0.000028
100, 0.000023, 0.035690, 0.000032
100, 0.000023, 0.024459, 0.000031
100, 0.000020, 0.031000, 0.000034
100, 0.000019, 0.022662, 0.000027
100, 0.000019, 0.031583, 0.000033
100, 0.000016, 0.021509, 0.000022
100, 0.000019, 0.031133, 0.000032
100, 0.000018, 0.029743, 0.000031
100, 0.000014, 0.031103, 0.000032
100, 0.000018, 0.030058, 0.000031
100, 0.000014, 0.021307, 0.000030
100, 0.000013, 0.020786, 0.000029
100, 0.000019, 0.024058, 0.000029
100, 0.000018, 0.021532, 0.000014
100, 0.000010, 0.016784, 0.000027
100, 0.000010, 0.017633, 0.000015
100, 0.000013, 0.016272, 0.000029
100, 0.000019, 0.025025, 0.000028
10000, 0.002429, 0.125078, 0.001253
10000, 0.001933, 0.163304, 0.001202
10000, 0.001396, 0.102608, 0.001274
10000, 0.002311, 0.119949, 0.001309
10000, 0.002713, 0.120650, 0.001296
10000, 0.001804, 0.122340, 0.001252
10000, 0.002117, 0.060129, 0.001200
10000, 0.001827, 0.115619, 0.001355
10000, 0.001997, 0.108558, 0.001267
10000, 0.001165, 0.087259, 0.001284
10000, 0.002254, 0.092952, 0.001243
10000, 0.001186, 0.077876, 0.001253
10000, 0.001434, 0.090682, 0.001326
10000, 0.001576, 0.083838, 0.001210
10000, 0.002406, 0.126227, 0.001350
10000, 0.001458, 0.097833, 0.001330
10000, 0.001134, 0.096902, 0.001369
10000, 0.001494, 0.108354, 0.001738
10000, 0.002237, 0.118740, 0.001341
10000, 0.001681, 0.108843, 0.001225
10000, 0.001627, 0.117723, 0.001227
10000, 0.002372, 0.122697, 0.001250
10000, 0.001534, 0.111180, 0.001308
10000, 0.002308, 0.113558, 0.001221
10000, 0.001841, 0.117288, 0.001297
10000, 0.001175, 0.099792, 0.001204
10000, 0.001186, 0.093100, 0.001348
10000, 0.001116, 0.069981, 0.001209
10000, 0.001544, 0.087830, 0.001474
10000, 0.001625, 0.079987, 0.001375
1000, 0.000123, 0.040988, 0.000108
1000, 0.000221, 0.046182, 0.000125
1000, 0.000256, 0.072003, 0.000185
1000, 0.000117, 0.072783, 0.000147
1000, 0.000139, 0.080036, 0.000141
1000, 0.000183, 0.068683, 0.000101
1000, 0.000108, 0.069496, 0.000169
1000, 0.000224, 0.082378, 0.000196
1000, 0.000224, 0.071302, 0.000189
1000, 0.000232, 0.077390, 0.000125
1000, 0.000129, 0.054632, 0.000100
1000, 0.000097, 0.056497, 0.000179
1000, 0.000246, 0.067171, 0.000234
1000, 0.000183, 0.061840, 0.000104
1000, 0.000188, 0.069345, 0.000103
1000, 0.000156, 0.061397, 0.000228
1000, 0.000263, 0.068723, 0.000230
1000, 0.000242, 0.055302, 0.000161
1000, 0.000196, 0.065419, 0.000160
1000, 0.000130, 0.073606, 0.000120
1000, 0.000224, 0.079192, 0.000209
1000, 0.000221, 0.078094, 0.000118
1000, 0.000248, 0.082769, 0.000141
1000, 0.000248, 0.074065, 0.000197
1000, 0.000126, 0.078545, 0.000167
1000, 0.000120, 0.068808, 0.000186
1000, 0.000108, 0.083344, 0.000153
1000, 0.000105, 0.071874, 0.000136
1000, 0.000261, 0.079352, 0.000139
1000, 0.000096, 0.061657, 0.000153
30000000, 15.740223, 2.778203, 4.055161
30000000, 15.288860, 3.079652, 3.922408
30000000, 15.697711, 2.861118, 3.995165
30000000, 15.299541, 2.806703, 3.970735
30000000, 15.257366, 2.880546, 4.057114
30000000, 16.317915, 3.897521, 5.248097
30000000, 19.496912, 3.069458, 5.088885
30000000, 16.586728, 2.759741, 4.493194
30000000, 20.643856, 4.498200, 6.153388
30000000, 20.786295, 3.457443, 5.959214
30000000, 22.870291, 3.548296, 6.231601
30000000, 23.286050, 4.482553, 5.688679
30000000, 23.547976, 3.854934, 6.579396
30000000, 22.562110, 3.352431, 6.407930
30000000, 20.381575, 3.513696, 5.674948
30000000, 22.095726, 4.737037, 7.028010
30000000, 19.886734, 3.218478, 5.178540
30000000, 18.832139, 3.752549, 6.611181
30000000, 19.144287, 3.612140, 6.221611
30000000, 23.086782, 4.301148, 5.597749
30000000, 24.841594, 4.664248, 5.395416
30000000, 19.553930, 4.565602, 5.585898
30000000, 22.026814, 3.987910, 5.543179
30000000, 23.114037, 3.418508, 4.221730
30000000, 16.723224, 3.194979, 4.190433
30000000, 15.720066, 3.986491, 4.221721
30000000, 23.512085, 5.775197, 6.167607
30000000, 22.227368, 3.646937, 5.530000
30000000, 23.458934, 3.474903, 5.979212
30000000, 21.339973, 3.796506, 6.780069
100000, 0.015711, 0.109079, 0.015005
100000, 0.014006, 0.105617, 0.016386
100000, 0.013021, 0.096480, 0.015796
100000, 0.013530, 0.092802, 0.014593
100000, 0.012978, 0.111511, 0.014666
100000, 0.015104, 0.130045, 0.015544
100000, 0.013486, 0.094744, 0.015230
100000, 0.012974, 0.089471, 0.014475
100000, 0.013064, 0.114708, 0.017153
100000, 0.015995, 0.136543, 0.015213
100000, 0.013045, 0.104183, 0.014936
100000, 0.013716, 0.101002, 0.016177
100000, 0.016447, 0.141821, 0.014364
100000, 0.020644, 0.128628, 0.014591
100000, 0.013974, 0.130047, 0.014387
100000, 0.014124, 0.176236, 0.014741
100000, 0.013482, 0.139414, 0.014452
100000, 0.013828, 0.153248, 0.014696
100000, 0.015524, 0.130515, 0.014438
100000, 0.016001, 0.139820, 0.015462
100000, 0.013332, 0.163183, 0.014497
100000, 0.017052, 0.153660, 0.014706
100000, 0.013408, 0.115126, 0.014474
100000, 0.014964, 0.137986, 0.015922
100000, 0.016101, 0.115988, 0.014434
100000, 0.036539, 0.136310, 0.014455
100000, 0.013669, 0.142475, 0.014752
100000, 0.016165, 0.117689, 0.015322
100000, 0.017325, 0.140447, 0.014726
100000, 0.017797, 0.128817, 0.014862
10000000, 3.314345, 0.753390, 1.933094
10000000, 3.184683, 0.746694, 2.092896
10000000, 3.237646, 0.847251, 1.960063
10000000, 3.274339, 0.758063, 1.911399
10000000, 3.265696, 0.772114, 2.220260
10000000, 3.187359, 0.737764, 2.342269
10000000, 2.995690, 0.810496, 2.079764
10000000, 3.313091, 0.821412, 1.920276
10000000, 3.198353, 0.810864, 2.181276
10000000, 3.203682, 0.754731, 1.545017
10000000, 3.209426, 0.675608, 1.905287
10000000, 3.188798, 0.786148, 1.748126
10000000, 3.297956, 0.763325, 2.232054
10000000, 3.391193, 0.690969, 1.543911
10000000, 3.121196, 0.735582, 1.831720
10000000, 3.136751, 0.660511, 2.039170
10000000, 3.369570, 0.575749, 1.566613
10000000, 3.065294, 0.906081, 1.564677
10000000, 3.201419, 0.597441, 1.654393
10000000, 3.285128, 0.543571, 1.437525
10000000, 2.943863, 0.689602, 1.489685
10000000, 2.825025, 0.562963, 1.557877
10000000, 3.400239, 0.799327, 1.820762
10000000, 2.929944, 0.689690, 1.768598
10000000, 2.977195, 0.795700, 2.294448
10000000, 3.863473, 0.725546, 2.054293
10000000, 3.452977, 0.974260, 2.461017
10000000, 3.289162, 1.131477, 1.537671
10000000, 3.560396, 0.624538, 1.750766
10000000, 3.646873, 0.707451, 1.625768
